formula,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
KBiSe3,,1.64,1.6,1.15,0.82,2.02,2.55,0.5,0.94236213,2.020604712,0.7173919707310791,1.3913043478260871,3.7242242020471097,3.8890872965260117,4.053950391004913,58.716740589796935,13.715197444188856
NaPbI3,,1.39,1.8,1.4,0.93,2.33,2.66,0.5,0.3567212,3.059046537,0.616508724847021,1.2857142857142858,4.265160889654819,4.525483399593905,4.785805909532991,92.3752179282078,10.981866454659421
NaPbBr3,,1.39,1.8,1.15,0.93,2.33,2.96,0.5,0.3567212,3.3635883,0.6088309234623154,1.565217391304348,3.9271405076505363,4.171930009000631,4.416719510350726,72.36245183396971,10.7833339609293
NaPbCl3,,1.39,1.8,1.0,0.93,2.33,3.16,0.5,0.3567212,3.61272528,0.6035661453699458,1.8,3.7243282784479663,3.9597979746446663,4.195267670841366,61.87007737172695,9.03288739758495
NaPbF3,,1.39,1.8,0.5,0.93,2.33,3.98,0.5,0.3567212,3.401189824,0.5810573114967716,3.6,3.0482875144394006,3.2526911934581184,3.4570948724768362,34.27757257841077,13.912683654075792
NaPbO3,,1.39,1.8,0.6,0.93,2.33,3.44,0.5,0.3567212,1.461112979,0.5863093727338456,3.0,3.1834956672411137,3.394112549695428,3.6047294321497425,38.94961553467918,11.860265685136731
NaPbS3,,1.39,1.8,1.0,0.93,2.33,2.58,0.5,0.3567212,2.07710426,0.6035661453699458,1.8,3.7243282784479663,3.9597979746446663,4.195267670841366,61.87007737172695,8.760088101050695
NaPbSe3,,1.39,1.8,1.15,0.93,2.33,2.55,0.5,0.3567212,2.020604712,0.6088309234623154,1.565217391304348,3.9271405076505363,4.171930009000631,4.416719510350726,72.36245183396971,10.718345055217913
NaSnI3,,1.39,1.45,1.4,0.93,1.96,2.66,0.5,1.1120702,3.059046537,0.6922203226352518,1.0357142857142858,3.844432354848823,4.030508652763321,4.216584950677819,65.33605916610756,13.277626189595448
NaSnBr3,,1.39,1.45,1.15,0.93,1.96,2.96,0.5,1.1120702,3.3635883,0.6907889323899349,1.2608695652173914,3.50641197284454,3.676955262170047,3.8474985514955535,49.60549085097503,12.768020974963017
NaSnCl3,,1.39,1.45,1.0,0.93,1.96,3.16,0.5,1.1120702,3.61272528,0.6897898804227952,1.45,3.3035997436419704,3.464823227814083,3.6260467119861954,41.50514165869421,9.924575342188255
NaSnF3,,1.39,1.45,0.5,0.93,1.96,3.98,0.5,1.1120702,3.401189824,0.6853496494577306,2.9,2.6275589796334056,2.7577164466275357,2.887873913621666,20.9257151954514,15.767608606562778
NaSnO3,,1.39,1.45,0.6,0.93,1.96,3.44,0.5,1.1120702,1.461112979,0.6864109729566973,2.4166666666666665,2.762767132435118,2.899137802864845,3.0355084732945716,24.31333808403943,12.956190992270255
NaSnS3,,1.39,1.45,1.0,0.93,1.96,2.58,0.5,1.1120702,2.07710426,0.6897898804227952,1.45,3.3035997436419704,3.464823227814083,3.6260467119861954,41.50514165869421,9.517924192257977
NaSnSe3,,1.39,1.45,1.15,0.93,1.96,2.55,0.5,1.1120702,2.020604712,0.6907889323899349,1.2608695652173914,3.50641197284454,3.676955262170047,3.8474985514955535,49.60549085097503,12.67321782961343
NaGeI3,,1.39,1.25,1.4,0.93,2.01,2.66,0.5,1.232676413,3.059046537,0.7444633658530067,0.8928571428571429,3.6040160492453968,3.747665940288702,3.891315831332007,52.55863395336881,15.049952554479761
NaGeBr3,,1.39,1.25,1.15,0.93,2.01,2.96,0.5,1.232676413,3.3635883,0.7483546767557628,1.0869565217391306,3.265995667241114,3.394112549695428,3.522229432149742,39.04446582778394,14.26222930369626
NaGeCl3,,1.39,1.25,1.0,0.93,2.01,3.16,0.5,1.232676413,3.61272528,0.751104536460377,1.25,3.0631834380385445,3.1819805153394642,3.300777592640384,32.17264623637372,10.425567111675523
NaGeF3,,1.39,1.25,0.5,0.93,2.01,3.98,0.5,1.232676413,3.401189824,0.7636753236814713,2.5,2.387142674029979,2.4748737341529163,2.562604794275854,15.139553164718892,16.740630405295654
NaGeO3,,1.39,1.25,0.6,0.93,2.01,3.44,0.5,1.232676413,1.461112979,0.7606175646276915,2.0833333333333335,2.5223508268316923,2.616295090390226,2.71023935394876,17.885449716894655,13.33516532540762
NaGeS3,,1.39,1.25,1.0,0.93,2.01,2.58,0.5,1.232676413,2.07710426,0.751104536460377,1.25,3.0631834380385445,3.1819805153394642,3.300777592640384,32.17264623637372,9.900956439008969
NaGeSe3,,1.39,1.25,1.15,0.93,2.01,2.55,0.5,1.232676413,2.020604712,0.7483546767557628,1.0869565217391306,3.265995667241114,3.394112549695428,3.522229432149742,39.04446582778394,14.141783128813875
NaTiI3,,1.39,1.4,1.4,0.93,1.54,2.66,0.5,0.075545,3.059046537,0.704581399825167,1.0,3.7843282784479664,3.9597979746446663,4.135267670841366,61.96771159014903,12.100938250511746
NaTiBr3,,1.39,1.4,1.15,0.93,1.54,2.96,0.5,0.075545,3.3635883,0.7043338134171885,1.2173913043478262,3.4463078964436833,3.6062445840513924,3.7661812716591014,46.80696400217213,11.018096127826178
NaTiCl3,,1.39,1.4,1.0,0.93,1.54,3.16,0.5,0.075545,3.61272528,0.7041605029316035,1.4,3.2434956672411137,3.394112549695428,3.5447294321497425,39.023179617970186,7.541173977361844
NaTiF3,,1.39,1.4,0.5,0.93,1.54,3.98,0.5,0.075545,3.401189824,0.7033851665487235,2.8,2.5674549032325484,2.6870057685088806,2.806556633785213,19.361777862161812,10.965324036602846
NaTiO3,,1.39,1.4,0.6,0.93,1.54,3.44,0.5,0.075545,1.461112979,0.7035712472806147,2.3333333333333335,2.702663056034262,2.8284271247461903,2.954191193458119,22.582680894739298,8.739791965597728
NaTiS3,,1.39,1.4,1.0,0.93,1.54,2.58,0.5,0.075545,2.07710426,0.7041605029316035,1.4,3.2434956672411137,3.394112549695428,3.5447294321497425,39.023179617970186,7.108658899175986
NaTiSe3,,1.39,1.4,1.15,0.93,1.54,2.55,0.5,0.075545,2.020604712,0.7043338134171885,1.2173913043478262,3.4463078964436833,3.6062445840513924,3.7661812716591014,46.80696400217213,10.917624827037168
NaZrI3,,1.39,1.55,1.4,0.93,1.33,2.66,0.5,0.433289,3.059046537,0.6687552269527007,1.1071428571428572,3.9646405076505364,4.171930009000631,4.379219510350725,72.43317840738736,11.34652854865002
NaZrBr3,,1.39,1.55,1.15,0.93,1.33,2.96,0.5,0.433289,3.3635883,0.6652041571162335,1.347826086956522,3.6266201256462534,3.818376618407357,4.010133111168461,55.53152727840612,10.583560957581275
NaZrCl3,,1.39,1.55,1.0,0.93,1.33,3.16,0.5,0.433289,3.61272528,0.6627392968768033,1.55,3.4238078964436833,3.6062445840513924,3.7886812716591014,46.779183654245024,7.829941294982006
