formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded,True_Structural_Tag
CsGeF3,4.3260000000000005,4.3260000000000005,10.094,1.809,1.81,0.73,1.33,0.79,2.01,3.98,0.47,1.23,3.4,1.077822957730951,0.5488721804511277,188.9019019440001,2.304866089326471,1.97,0.5488721804511277,0.4351426345763369,0.2966198831416767,1.83099,0.3739681995368351,Unstable_Hexagonal,Ge,1,2,Unstable_Hexagonal
CsZnI3,5.880000000000001,5.880000000000001,5.880000000000001,2.249,1.81,0.74,2.2,0.79,1.65,2.66,0.47,-0.6,3.06,0.9644551675367532,0.3363636363636363,203.29747200000008,4.728472993505791,1.0100000000000002,0.3363636363636363,1.5105075164968116e-16,0.7887090383561732,2.41075,0.4440607125393937,Stable_Cubic,Zn,1,8,Stable_Cubic
CsZnBr3,5.4,5.4,5.4,2.177,1.81,0.74,1.96,0.79,1.65,2.96,0.47,-0.6,3.36,0.9873305796567718,0.3775510204081632,157.46400000000003,4.617883871869124,1.31,0.3775510204081632,1.6447748512965279e-16,0.7694125595045476,2.27227,0.4311141483887662,Stable_Cubic,Zn,1,8,Stable_Cubic
CsZnCl3,5.1,5.1,5.1,2.124,1.81,0.74,1.81,0.79,1.65,3.16,0.47,-0.6,3.61,1.0038143325079616,0.4088397790055249,132.65099999999998,3.810513120896186,1.5100000000000002,0.4088397790055249,0.0,0.7617821380375981,2.1857199999999994,0.4206470093262228,Stable_Cubic,Zn,1,8,Stable_Cubic
CsZnF3,4.347,4.347,10.143000000000002,1.977,1.81,0.74,1.33,0.79,1.65,3.98,0.47,-0.6,3.4,1.072616083539014,0.556390977443609,191.6662764870001,2.208378300857265,2.33,0.556390977443609,0.435142634576337,0.2926959756873232,1.90876,0.3649711500094513,Unstable_Hexagonal,Zn,1,8,Unstable_Hexagonal
CsMgI3,5.84,5.84,5.84,2.032,1.81,0.72,2.2,0.79,1.31,2.66,0.47,-0.4,3.06,0.9710610248486492,0.3272727272727272,199.176704,4.484482612986708,1.35,0.3272727272727272,0.0,0.8043541722920212,2.46721,0.4551583263861767,Stable_Cubic,Mg,0,3,Stable_Cubic
CsMgBr3,5.359999999999999,5.359999999999999,5.359999999999999,1.974,1.81,0.72,1.96,0.79,1.31,2.96,0.47,-0.4,3.36,0.9946987183109268,0.3673469387755102,153.99065599999994,4.279924140332256,1.65,0.3673469387755102,0.0,0.7858972853147395,2.32873,0.4435377081315395,Stable_Cubic,Mg,0,3,Stable_Cubic
CsMgCl3,5.0600000000000005,5.0600000000000005,5.0600000000000005,1.884,1.81,0.72,1.81,0.79,1.31,3.16,0.47,-0.4,3.61,1.0117496236740322,0.3977900552486187,129.55421600000005,3.376086471782592,1.85,0.3977900552486187,0.0,0.7789574492677037,2.24218,0.4340694148767673,Stable_Cubic,Mg,0,3,Stable_Cubic
CsMgF3,4.305,4.305,10.045,1.919,1.81,0.72,1.33,0.79,1.31,3.98,0.47,-0.4,3.4,1.0830806306954923,0.5413533834586466,186.164236125,1.9079363114702008,2.67,0.5413533834586466,0.4351426345763369,0.3006270603423104,1.96522,0.3830011637964499,Unstable_Hexagonal,Mg,0,3,Unstable_Hexagonal
CsCaI3,8.960457131195932,8.960457131195932,12.864,1.806,1.81,1.0,2.2,0.79,1.0,2.66,0.47,0.02,3.06,0.8860931851743922,0.4545454545454545,1032.8478842880004,0.8900390444559099,1.66,0.4545454545454545,0.1793230027965838,0.1576553023937824,2.69077,0.3051042455546589,Metastable,Ca,0,0,Metastable
CsCaBr3,5.92,5.92,5.92,1.486,1.81,1.0,1.96,0.79,1.0,2.96,0.47,0.02,3.36,0.9006055963085419,0.5102040816326531,207.474688,3.302276584216384,1.96,0.5102040816326531,1.50030138462859e-16,0.595957860424237,2.5522899999999997,0.2760138708758533,Stable_Cubic,Ca,0,0,Stable_Cubic
