formula,rA,rB,rX,chi_A,chi_B,chi_X,tolerance_factor,octahedral_factor,volume,density
FAVBr3,2.53,0.7775000000000001,0.8825000000000001,2.57,1.63,2.96,1.4538351425503993,0.8810198300283286,36.59436800000001,15.233994818206602
FAVCl3,2.53,0.7775000000000001,0.7799999999999999,2.57,1.63,3.16,1.5029707510994161,0.996794871794872,30.225545875000005,11.11759475572639
FAVF3,2.53,0.7775000000000001,0.705,2.57,1.63,3.98,1.543228280910481,1.1028368794326242,26.065982124999998,9.746916522265568
FAVO3,2.53,0.7775000000000001,1.26,2.57,1.63,3.44,1.315504030683524,0.6170634920634921,67.667921875,3.533767700848482
FAVS3,2.53,0.7775000000000001,0.88,2.57,1.63,2.58,1.45496126858969,0.8835227272727274,36.42928087500001,8.76100897573209
FAVSe3,2.53,0.7775000000000001,1.0133333333333334,2.57,1.63,2.55,1.39928903479991,0.7672697368421053,45.946823837962974,12.030769697546301
FACrI3,2.53,0.94,1.2733333333333334,2.57,1.66,2.66,1.2152570678754622,0.7382198952879581,86.74220562962964,9.146337412248556
FACrBr3,2.53,0.94,0.8825000000000001,2.57,1.66,2.96,1.3242064947235463,1.065155807365439,48.427561125000004,11.547755966431739
FACrCl3,2.53,0.94,0.7799999999999999,2.57,1.66,3.16,1.3609749679286867,1.2051282051282053,40.70758399999998,8.297879229145076
FACrF3,2.53,0.94,0.705,2.57,1.66,3.98,1.390781718206558,1.3333333333333333,35.611289,7.18351411757806
FACrO3,2.53,0.94,1.26,2.57,1.66,3.44,1.2183361193262183,0.7460317460317459,85.18400000000003,2.8276902016672647
FACrS3,2.53,0.94,0.88,2.57,1.66,2.58,1.325054012465611,1.0681818181818181,48.228543999999985,6.653912300540348
FACrSe3,2.53,0.94,1.0133333333333334,2.57,1.66,2.55,1.2828806040038425,0.9276315789473683,59.6237202962963,9.300441143323289
FAMnI3,2.53,0.8775,1.2733333333333334,2.57,1.55,2.66,1.2505706207970662,0.6891361256544501,79.59948583796297,10.028441779016491
FAMnBr3,2.53,0.8775,0.8825000000000001,2.57,1.55,2.96,1.3712308730873086,0.9943342776203965,43.614208,12.934202237843618
FAMnCl3,2.53,0.8775,0.7799999999999999,2.57,1.55,3.16,1.4122937827072948,1.125,36.42928087499998,9.40649763887767
FAMnF3,2.53,0.8775,0.705,2.57,1.55,3.98,1.4457099061294079,1.2446808510638299,31.704517125000002,8.22278809808786
FAMnO3,2.53,0.8775,1.26,2.57,1.55,3.44,1.2539599824644119,0.6964285714285714,78.12829687500002,3.1455861802087277
FAMnS3,2.53,0.8775,0.88,2.57,1.55,2.58,1.3721754211592672,0.9971590909090908,43.42861587499999,7.501823956142184
FAMnSe3,2.53,0.8775,1.0133333333333334,2.57,1.55,2.55,1.3252852074856796,0.8659539473684209,54.081625504629635,10.343850151253424
FAFeI3,2.53,0.8525,1.2733333333333334,2.57,1.83,2.66,1.265277448952265,0.6695026178010471,76.85597292129631,10.40602113770399
FAFeBr3,2.53,0.8525,0.8825000000000001,2.57,1.83,2.96,1.3909892430165205,0.9660056657223796,41.781923000000006,13.537458678661876
FAFeCl3,2.53,0.8525,0.7799999999999999,2.57,1.83,3.16,1.4339215588590144,1.092948717948718,34.80563462499999,9.88857171136423
FAFeF3,2.53,0.8525,0.705,2.57,1.83,3.98,1.4689155226001849,1.2092198581560285,30.225545875000005,8.674966419716583
FAFeO3,2.53,0.8525,1.26,2.57,1.83,3.44,1.2687997455704998,0.6765873015873016,75.41889062499997,3.278560030468498
FAFeS3,2.53,0.8525,0.88,2.57,1.83,2.58,1.3919759322871064,0.96875,41.601569624999996,7.8674892153261435
FAFeSe3,2.53,0.8525,1.0133333333333334,2.57,1.83,2.55,1.3430424903014768,0.841282894736842,51.96471258796297,10.79421537488076
FACoI3,2.53,0.7683333333333334,1.2733333333333334,2.57,1.88,2.66,1.317437866235603,0.6034031413612566,68.08391203703707,11.822074305152906
FACoBr3,2.53,0.7683333333333334,0.8825000000000001,2.57,1.88,2.96,1.4619079272894477,0.8706326723323891,35.991477504629636,15.857899814300422
FACoCl3,2.53,0.7683333333333334,0.7799999999999999,2.57,1.88,3.16,1.511868855653826,0.9850427350427353,29.695003296296296,11.76313061066247
FACoF3,2.53,0.7683333333333334,0.705,2.57,1.88,3.98,1.5528298143324353,1.0898345153664304,25.5854482962963,10.448665221607964
FACoO3,2.53,0.7683333333333334,1.26,2.57,1.88,3.44,1.3214492009125787,0.6097883597883599,66.7587152962963,3.7806831293072296
FACoS3,2.53,0.7683333333333334,0.88,2.57,1.88,2.58,1.4630525597699158,0.8731060606060607,35.82820996296297,9.278389543281756
FACoSe3,2.53,0.7683333333333334,1.0133333333333334,2.57,1.88,2.55,1.4064883703391051,0.7582236842105263,45.24487070370371,12.510732798523511
FANiI3,2.53,0.74,1.2733333333333334,2.57,1.91,2.66,1.3359779686577928,0.581151832460733,65.28855229629633,12.32214286454602
FANiBr3,2.53,0.74,0.8825000000000001,2.57,1.91,2.96,1.4874368792811483,0.838526912181303,34.169931125000005,16.691606549560028
FANiCl3,2.53,0.74,0.7799999999999999,2.57,1.91,3.16,1.5400506216035135,0.9487179487179488,28.094464000000002,12.41910164171087
FANiF3,2.53,0.74,0.705,2.57,1.91,3.98,1.5832774577507183,1.049645390070922,24.137568999999992,11.058925839622084
FANiO3,2.53,0.74,1.26,2.57,1.91,3.44,1.3401697312588403,0.5873015873015873,64.0,3.937427349717702
