formula,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
KZrF3,1.52,0.86,0.705,0.82,1.33,3.98,0.50145913,0.433289,3.401189824,1.0053115579169765,1.2198581560283688,3.13,3.13,3.13,30.664296999999998,10.143891874807645
KZrO3,1.52,0.86,1.26,0.82,1.33,3.44,0.50145913,0.433289,1.461112979,0.9272437979710386,0.6825396825396826,4.24,4.24,4.24,76.225024,3.8847488988282963
KZrS3,1.52,0.86,0.88,0.82,1.33,2.58,0.50145913,0.433289,2.07710426,0.9753196981883414,0.9772727272727273,3.48,3.48,3.48,42.144192,8.925301452382511
KBiI3,1.52,1.035,1.2733333333333334,0.82,2.02,2.66,0.50145913,0.94236213,3.059046537,0.8556757871975837,0.8128272251308899,4.616666666666667,4.616666666666667,4.616666666666667,98.397837962963,10.611597686433615
KBiBr3,1.52,1.035,0.8825000000000001,0.82,2.02,2.96,0.50145913,0.94236213,3.3635883,0.885957779296313,1.1728045325779035,3.835,3.835,3.835,56.402207874999995,14.36139607908152
KBiCl3,1.52,1.035,0.7799999999999999,0.82,2.02,3.16,0.50145913,0.94236213,3.61272528,0.8960581800160105,1.3269230769230769,3.63,3.63,3.63,47.832147,12.304933852308313
KBiF3,1.52,1.035,0.705,0.82,2.02,3.98,0.50145913,0.94236213,3.401189824,0.9042026368621082,1.4680851063829787,3.4799999999999995,3.4799999999999995,3.4799999999999995,42.14419199999998,12.020612149433582
KBiO3,1.52,1.035,1.26,0.82,2.02,3.44,0.50145913,0.94236213,1.461112979,0.8565389332020054,0.8214285714285714,4.59,4.59,4.59,96.70257899999999,5.084236184077713
KBiS3,1.52,1.035,0.88,0.82,2.02,2.58,0.50145913,0.94236213,2.07710426,0.886191266239015,1.1761363636363635,3.83,3.83,3.83,56.181887,10.175758092022797
NaPbI3,1.16,1.1225,1.2733333333333334,0.93,2.33,2.66,0.54792625,0.3567212,3.059046537,0.7181745395007717,0.881544502617801,4.791666666666667,4.791666666666667,4.791666666666667,110.01699942129632,9.22086870523455
NaPbBr3,1.16,1.1225,0.8825000000000001,0.93,2.33,2.96,0.54792625,0.3567212,3.3635883,0.7203319703608595,1.271954674220963,4.01,4.01,4.01,64.48120099999998,12.101332981644626
NaPbCl3,1.16,1.1225,0.7799999999999999,0.93,2.33,3.16,0.54792625,0.3567212,3.61272528,0.7210444969786608,1.4391025641025643,3.8049999999999997,3.8049999999999997,3.8049999999999997,55.08888512499999,10.144794923886714
NaPbF3,1.16,1.1225,0.705,0.93,2.33,3.98,0.54792625,0.3567212,3.401189824,0.7216164962587748,1.592198581560284,3.6550000000000002,3.6550000000000002,3.6550000000000002,48.82723637500001,9.766946874700155
NaPbO3,1.16,1.1225,1.26,0.93,2.33,3.44,0.54792625,0.3567212,1.461112979,0.7182364786868602,0.8908730158730159,4.765000000000001,4.765000000000001,4.765000000000001,108.19039712500003,4.269813226043503
NaPbS3,1.16,1.1225,0.88,0.93,2.33,2.58,0.54792625,0.3567212,2.07710426,0.7203484812087675,1.2755681818181819,4.005,4.005,4.005,64.24030012499999,8.436874166847632
NaSnI3,1.16,0.83,1.2733333333333334,0.93,1.96,2.66,0.54792625,1.1120702,3.059046537,0.8180474647641517,0.6518324607329842,4.206666666666667,4.206666666666667,4.206666666666667,74.44136029629631,11.65357224607338
NaSnBr3,1.16,0.83,0.8825000000000001,0.93,1.96,2.96,0.54792625,1.1120702,3.3635883,0.8433667740575318,0.9405099150141641,3.425,3.425,3.425,40.177390624999994,15.764188211478338
NaSnCl3,1.16,0.83,0.7799999999999999,0.93,1.96,3.16,0.54792625,1.1120702,3.61272528,0.8520417114918647,1.064102564102564,3.2199999999999998,3.2199999999999998,3.2199999999999998,33.386247999999995,12.338041264172814
NaSnF3,1.16,0.83,0.705,0.93,1.96,3.98,0.54792625,1.1120702,3.401189824,0.8591232227445673,1.177304964539007,3.07,3.07,3.07,28.934442999999995,11.403312205259352
